id	state	date
sample6809	ID	2020-03-29
sample6881	ID	2020-03-18
sample6930	ID	2020-03-15
sample6903	ID	2020-03-19
sample6897	ID	2020-03-19
sample6791	ID	2020-03-23
sample6805	ID	2020-03-25
sample6838	ID	2020-03-22
sample6906	ID	2020-03-17
sample6830	ID	2020-03-29
sample6852	ID	2020-07-30
sample6904	ID	2020-03-19
sample6908	ID	2020-03-17
sample6885	ID	2020-03-19
sample6794	ID	2020-03-27
sample6901	ID	2020-03-19
sample6799	ID	2020-03-28
sample6798	ID	2020-03-27
sample6813	ID	2020-03-30
sample6782	ID	2020-03-20
sample6841	ID	2020-03-26
sample6785	ID	2020-03-20
sample6747	IL	2020-06-26
sample7143	IL	2020-04-13
sample7099	IL	2020-07-26
sample7059	IL	2020-06-01
sample6986	IL	2020-03-16
sample7029	IL	2020-03-21
sample7175	IL	2020-04-29
sample7132	IL	2020-03-28
sample7098	IL	2020-08-01
sample7227	IL	2020-06-23
sample7202	IL	2020-07-10
sample7114	IL	2020-09-14
sample6960	IL	2020-03-13
sample7149	IL	2020-04-13
sample6975	IL	2020-04-07
sample7118	IL	2020-03-19
sample7034	IL	2020-03-20
sample7267	IL	2020-06-04
sample7221	IL	2020-04-18
sample6997	IL	2020-03-14
sample7272	IL	2020-06-10
sample7053	IL	2020-05-22
sample6995	IL	2020-03-14
sample7173	IL	2020-04-29
sample7258	IL	2020-03-28
sample7214	IL	2020-03-21
sample7025	IL	2020-03-19
sample7211	IL	2020-03-21
sample7039	IL	2020-03-19
sample7165	IL	2020-04-27
sample7193	IL	2020-06-23
sample7072	IL	2020-06-26
sample7172	IL	2020-04-29
sample7014	IL	2020-03-16
sample7112	IL	2020-09-16
sample7222	IL	2020-04-18
sample7174	IL	2020-04-29
sample7179	IL	2020-03-30
sample7016	IL	2020-03-19
sample7049	IL	2020-04-14
sample6958	IL	2020-03-13
sample7045	IL	2020-04-18
sample7000	IL	2020-03-15
sample7216	IL	2020-03-20
sample7218	IL	2020-03-21
sample7089	IL	2020-03-20
sample7156	IL	2020-04-11
sample6994	IL	2020-03-16
sample7240	IL	2020-03-19
sample6970	IL	2020-04-13
sample7273	IN	2020-03-19
sample7274	IN	2020-03-19
sample7275	IN	2020-03-09
sample7276	IN	2020-03-24
sample7277	IN	2020-04-06
sample7278	IN	2020-04-06
sample7279	IN	2020-04-07
sample7280	IN	2020-03-09
sample7281	IN	2020-03-12
sample7282	IN	2020-04-28
sample7283	IN	2020-04-28
sample7284	IN	2020-04-29
sample7285	IN	2020-04-29
sample7286	IN	2020-07-21
sample7287	IN	2020-04-05
sample7288	IN	2020-03-16
sample7289	IN	2020-03-16
sample7290	IN	2020-03-16
sample7291	IN	2020-03-17
sample7292	IN	2020-03-16
sample7293	IN	2020-03-16
sample7294	IN	2020-03-16
sample7295	IN	2020-03-16
sample7296	IN	2020-03-16
sample7297	IN	2020-03-17
sample7298	IN	2020-03-17
