id	state	date
sample17111	RI	2020-04-22
sample17229	SC	2020-06-26
sample17285	SC	2020-07-10
sample17131	SC	2020-04-17
sample17183	SC	2020-06-19
sample17188	SC	2020-06-19
sample17272	SC	2020-06-26
sample17149	SC	2020-06-20
sample17283	SC	2020-07-10
sample17141	SC	2020-05-08
sample17246	SC	2020-06-19
sample17113	SC	2020-03-07
sample17168	SC	2020-07-14
sample17187	SC	2020-06-19
sample17238	SC	2020-06-26
sample17237	SC	2020-06-26
sample17315	SD	2020-08-01
sample17317	SD	2020-08-17
sample17303	SD	2020-04-02
sample17307	SD	2020-07-07
sample17314	SD	2020-07-29
sample17316	SD	2020-08-05
sample17306	SD	2020-05-06
sample17311	SD	2020-07-23
sample17308	SD	2020-07-07
sample17304	SD	2020-04-03
sample17309	SD	2020-07-10
sample17318	SD	2020-08-17
sample17305	SD	2020-04-29
sample17310	SD	2020-07-12
sample17313	SD	2020-07-26
sample17319	TN	2020-03-13
sample17320	TN	2020-04-28
sample17321	TN	2020-03-24
sample17322	TN	2020-03-24
sample17323	TN	2020-03-12
sample17324	TN	2020-03-19
sample17325	TN	2020-03-11
sample17326	TN	2020-03-09
sample17327	TN	2020-03-09
sample17328	TN	2020-03-14
sample17329	TN	2020-03-17
sample19029	TX	2020-06-29
sample19999	TX	2020-06-16
sample19270	TX	2020-06-22
sample18972	TX	2020-06-18
sample18094	TX	2020-03-16
sample17818	TX	2020-07-04
sample17664	TX	2020-06-08
sample18933	TX	2020-06-18
sample21143	TX	2020-06-25
sample18810	TX	2020-06-23
sample17432	TX	2020-06-05
sample18375	TX	2020-06-18
sample21270	TX	2020-06-09
sample20084	TX	2020-07-01
sample19630	TX	2020-06-18
sample22837	UT	2020-04-26
sample22270	UT	2020-08-13
sample22686	UT	2020-03-13
sample21472	UT	2020-05-26
sample22974	UT	2020-05-15
sample22759	UT	2020-05-07
sample21982	UT	2020-04-25
sample22034	UT	2020-05-23
sample22784	UT	2020-05-15
sample23196	UT	2020-03-26
sample22664	UT	2020-03-12
sample23155	UT	2020-07-26
sample21904	UT	2020-04-30
sample22354	UT	2020-03-14
sample22492	UT	2020-04-29
sample23434	VA	2020-07-28
sample23490	VA	2020-05-29
sample23394	VA	2020-05-07
sample23282	VA	2020-04-29
sample24300	VA	2020-04-04
sample23422	VA	2020-06-03
sample23318	VA	2020-03-25
sample23575	VA	2020-04-08
sample24534	VA	2020-04-11
sample24075	VA	2020-04-01
sample24215	VA	2020-09-25
sample23496	VA	2020-04-29
sample23551	VA	2020-04-15
sample23376	VA	2020-05-22
sample23366	VA	2020-05-13
sample24619	VT	2020-03-05
sample24620	VT	2020-03-23
sample24621	VT	2020-03-23
sample24622	VT	2020-03-23
sample24937	WA	2020-03-03
sample24699	WA	2020-03-08
sample24878	WA	2020-06-27
sample28092	WA	2020-04-02
sample29325	WA	2020-05-12
sample25918	WA	2020-03-06
sample28673	WA	2020-06-04
sample27640	WA	2020-04-29
